task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+1_0,Counting,+1,0,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4231.31
Counting_+1_1,Counting,+1,1,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4235.49
Counting_+1_2,Counting,+1,2,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,4240.69
Counting_+1_3,Counting,+1,3,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,4242.32
Counting_+1_4,Counting,+1,4,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,4246.44
Counting_+1_5,Counting,+1,5,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,4250.55
Counting_+1_6,Counting,+1,6,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4254.84
Counting_+1_7,Counting,+1,7,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4259.58
Counting_+1_8,Counting,+1,8,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4263.48
Counting_+1_9,Counting,+1,9,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4267.03
Counting_+1_10,Counting,+1,10,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,4270.9
Counting_+1_11,Counting,+1,11,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,4275.32
Counting_+1_12,Counting,+1,12,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4278.99
Counting_+1_13,Counting,+1,13,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,4283.55
Counting_+1_14,Counting,+1,14,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4287.43
Counting_+1_15,Counting,+1,15,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,4291.58
Counting_+1_16,Counting,+1,16,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4295.43
Counting_+1_17,Counting,+1,17,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,4299.56
Counting_+1_18,Counting,+1,18,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.0,False,4303.25
