task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+1_0,Counting,+1,0,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,25.39
Counting_+1_1,Counting,+1,1,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,30.11
Counting_+1_2,Counting,+1,2,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,33.74
Counting_+1_3,Counting,+1,3,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,60.6
Counting_+1_6,Counting,+1,6,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,72.66
Counting_+1_5,Counting,+1,5,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,75.09
Counting_+1_7,Counting,+1,7,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,87.81
Counting_+1_4,Counting,+1,4,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,108.63
Counting_+1_9,Counting,+1,9,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,138.92
Counting_+1_8,Counting,+1,8,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,145.04
Counting_+1_10,Counting,+1,10,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,156.39
Counting_+1_11,Counting,+1,11,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,189.67
Counting_+1_12,Counting,+1,12,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,211.66
Counting_+1_13,Counting,+1,13,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,220.33
Counting_+1_15,Counting,+1,15,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,232.76
Counting_+1_16,Counting,+1,16,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,265.0
Counting_+1_17,Counting,+1,17,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,289.82
Counting_+1_14,Counting,+1,14,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.5,False,301.75
Counting_+1_18,Counting,+1,18,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,327.18
Counting_+1_19,Counting,+1,19,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,329.73
Counting_+1_20,Counting,+1,20,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,343.53
Counting_+1_21,Counting,+1,21,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,356.43
Counting_+1_23,Counting,+1,23,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,369.84
Counting_+1_25,Counting,+1,25,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,376.11
Counting_+1_26,Counting,+1,26,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,413.4
Counting_+1_22,Counting,+1,22,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,439.13
