task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+1_0,Counting,+1,0,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,42.58
Counting_+1_1,Counting,+1,1,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,52.6
Counting_+1_2,Counting,+1,2,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,101.26
Counting_+1_3,Counting,+1,3,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,114.74
Counting_+1_4,Counting,+1,4,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,141.11
Counting_+1_5,Counting,+1,5,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,157.15
Counting_+1_6,Counting,+1,6,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,181.34
Counting_+1_7,Counting,+1,7,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,203.87
Counting_+1_8,Counting,+1,8,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,213.86
Counting_+1_9,Counting,+1,9,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,223.13
Counting_+1_10,Counting,+1,10,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,251.04
Counting_+1_11,Counting,+1,11,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,1.0,False,263.76
Counting_+1_12,Counting,+1,12,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,275.75
Counting_+1_13,Counting,+1,13,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,295.85
Counting_+1_14,Counting,+1,14,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,324.36
Counting_+1_15,Counting,+1,15,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,339.42
Counting_+1_16,Counting,+1,16,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,379.59
Counting_+1_17,Counting,+1,17,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,434.1
Counting_+1_18,Counting,+1,18,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,448.39
Counting_+1_19,Counting,+1,19,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,479.39
