task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+1_0,Counting,+1,0,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,True,0.67,False,1976.6
Counting_+1_1,Counting,+1,1,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,1978.13
Counting_+1_2,Counting,+1,2,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,1979.9
Counting_+1_3,Counting,+1,3,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,1980.93
Counting_+1_4,Counting,+1,4,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,1982.46
Counting_+1_5,Counting,+1,5,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,1983.4
Counting_+1_6,Counting,+1,6,Counting,+1,0.0,True,True,Orientation of objects,Number of objects,False,+1,+1,True,False,0.67,False,1985.21
Counting_+1_7,Counting,+1,7,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,1986.45
Counting_+1_8,Counting,+1,8,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,1987.53
Counting_+1_9,Counting,+1,9,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,1988.58
Counting_+1_10,Counting,+1,10,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,1990.02
Counting_+1_11,Counting,+1,11,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,0.67,False,1991.21
Counting_+1_12,Counting,+1,12,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,1992.34
Counting_+1_13,Counting,+1,13,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,1995.13
Counting_+1_14,Counting,+1,14,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,0.67,False,1996.5
Counting_+1_15,Counting,+1,15,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,0.67,False,1997.71
Counting_+1_16,Counting,+1,16,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,1998.78
Counting_+1_17,Counting,+1,17,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,1999.94
Counting_+1_18,Counting,+1,18,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,2001.47
Counting_+1_19,Counting,+1,19,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,2002.59
Counting_+1_20,Counting,+1,20,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2004.18
Counting_+1_21,Counting,+1,21,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,2005.42
Counting_+1_23,Counting,+1,23,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2006.84
Counting_+1_22,Counting,+1,22,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,2008.74
Counting_+1_24,Counting,+1,24,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2010.11
Counting_+1_25,Counting,+1,25,Counting,+1,0.0,True,True,Orientation of objects,Number of objects,False,+1,+1,True,True,0.67,False,2011.35
Counting_+1_26,Counting,+1,26,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,2012.66
Counting_+1_27,Counting,+1,27,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,2014.3
Counting_+1_28,Counting,+1,28,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,1.0,False,2015.84
Counting_+1_29,Counting,+1,29,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2017.03
Counting_+1_30,Counting,+1,30,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2018.57
Counting_+1_31,Counting,+1,31,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,0.67,False,2020.42
Counting_+1_32,Counting,+1,32,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,1.0,False,2021.5
Counting_+1_33,Counting,+1,33,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,2022.8
Counting_+1_34,Counting,+1,34,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,0.67,False,2024.32
Counting_+1_35,Counting,+1,35,Counting,+1,0.0,True,True,Color of objects,Number of objects,False,+1,+1,True,True,0.67,False,2025.9
Counting_+1_36,Counting,+1,36,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,0.67,False,2027.38
Counting_+1_37,Counting,+1,37,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,2029.1
Counting_+1_38,Counting,+1,38,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2029.67
Counting_+1_39,Counting,+1,39,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,2031.06
Counting_+1_40,Counting,+1,40,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2032.44
Counting_+1_41,Counting,+1,41,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,0.67,False,2034.07
Counting_+1_42,Counting,+1,42,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,2035.36
Counting_+1_43,Counting,+1,43,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,2036.57
Counting_+1_44,Counting,+1,44,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,2038.2
Counting_+1_45,Counting,+1,45,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,True,1.0,False,2039.7
Counting_+1_46,Counting,+1,46,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,2040.79
Counting_+1_47,Counting,+1,47,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+2,+1,False,True,0.67,False,2042.1
Counting_+1_48,Counting,+1,48,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,0.67,False,2043.25
Counting_+1_49,Counting,+1,49,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,2044.85
Counting_+2_0,Counting,+2,0,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,1.0,False,2046.91
Counting_+2_1,Counting,+2,1,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,2047.98
Counting_+2_2,Counting,+2,2,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,-1,+2,False,True,0.67,False,2049.1
Counting_+2_3,Counting,+2,3,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,2050.41
Counting_+2_4,Counting,+2,4,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,2051.89
Counting_+2_5,Counting,+2,5,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,-2,+2,False,True,0.67,False,2053.17
Counting_+2_6,Counting,+2,6,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+1,+2,False,True,0.67,False,2055.08
Counting_+2_7,Counting,+2,7,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,2057.16
Counting_+2_9,Counting,+2,9,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,2057.6
Counting_+2_8,Counting,+2,8,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,2059.24
Counting_+2_10,Counting,+2,10,Counting,+2,0.0,True,True,Number of objects,Number of objects,True,-2,+2,False,True,0.67,False,2060.46
