task_id,correct,predicted_rows,gt_rows,elapsed_s,raw_response
409aa875,False,16,16,4.98,"7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
7 7 6 7 7 7 7 7 6 7 6 7 7 7 7 7
7 6 6 7 7 7 7 7 7 6 7 7 7 7 6 7
7 7 7 7 7 7 7 7 7 7 7 7 7 6 7 7
7 7 7 7 7 7 7 7 7 6 7 7 7 7 6 7
7 7 7 7 7 7 7 7 6 7 6 7 7 7 7 7
7 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7
7 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
7 7 7 7 6 7 7 7 7 7 7 7 7 7 7 7
7 7 7 6 7 6 7 7 6 6 7 7 7 7 6 7
7 7 7 7 7 7 7 7 7 6 "
9385bd28_0,False,19,19,8.95,"9 9 9 9 4 4 4 2 2 9 9 9 9
9 9 9 9 4 4 4 2 2 9 9 9 9
9 9 9 9 4 4 4 2 2 9 9 9 9
9 1 1 9 4 4 4 2 2 9 9 9 1
9 1 1 9 4 4 4 2 2 9 9 1 1
9 1 1 9 4 4 4 2 2 9 9 1 1
9 1 1 9 5 5 5 2 2 9 9 9 5
9 1 1 9 5 5 5 2 2 9 9 5 5
9 1 1 9 5 5 5 2 2 9 9 5 5
9 1 1 9 3 3 3 2 2 9 9 9 3
9 1 1 9 3 3 3 2 2 9 9 3 3
9 1 1 9 3 3 3 2 2 9 9 3 3
9 1 1 9 3 3 3 2 2 9 9 3 3
9 1 1 9 3 3 3 2 2 9 9 3 3
9 2 2 9 3 3 3 2 2 9 9 3 3
9 5 5 9 3 3 3 2 2 9 9 3 3
9 3 3 9 3 3 3 2 2 9 9 3 3
9 1 4 9 4 4 4 2 2 9 9 3 3
9 4 6 9 4 4 4 2 2 9 9 3 3"
a251c730,False,13,9,9.29,"4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 3 3 3 3 3 1 3 3 3 3 5 5 5 3 3 3 4
4 3 3 3 3 1 6 1 3 3 3 5 7 5 3 3 3 4
4 3 3 3 3 1 1 1 3 3 3 3 3 3 3 3 3 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 4
4 3 3 3 5 5 5 3 3 3 3 1 6 1 3 3 3 4
4 3 3 3 5 7 5 3 3 3 3 1 1 1 3 3 3 4
4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4"
88e364bc_0,False,20,20,9.98,"5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0
5 5 5 1 5 5 5 0 0 5 5 5 0 0 0 0 0 0 0 0
5 1 5 5 1 5 5 0 0 5 0 5 5 5 0 0 0 0 0 0
5 5 1 5 5 2 5 0 0 5 0 0 0 5 0 0 5 5 0 0
5 5 5 2 5 5 5 0 0 5 0 0 0 5 5 5 5 5 5 0
5 5 5 5 5 5 5 0 0 5 0 0 0 0 0 0 0 0 5 0
0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 5 0
0 0 0 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 5 0
0 0 0 0 0 1 1 1 1 1 5 0 0 0 0 0 0 0 5 0
0 0 0 0 0 1 0 0 0 1 5 5 5 0 0 5 5 5 5 0
0 0 0 0 0 1 0 0 0 1 1 1 5 5 5 5 0 0 0 0
0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 1 0 0 "
88e364bc_1,False,20,20,9.64,"6 6 6 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 2 6 2 6 0 0 3 3 3 3 3 3 3 0 0 6 6 6 6
6 1 6 1 6 0 0 3 0 0 0 0 0 3 0 0 6 0 0 6
6 1 6 1 6 0 3 3 0 0 0 0 0 3 6 6 6 6 0 6
6 6 6 6 6 0 3 0 0 0 0 0 3 3 6 0 0 0 0 6
0 0 0 0 0 0 3 0 0 0 0 0 3 0 6 0 0 0 4 6
0 0 3 3 3 3 3 0 0 0 0 0 3 3 6 6 6 0 0 6
0 0 3 0 0 0 0 0 0 0 0 0 0 3 3 0 6 0 0 6
0 0 3 3 0 0 0 0 0 0 0 0 0 3 3 0 6 0 0 6
0 0 0 3 3 3 3 3 3 3 3 3 3 3 0 0 6 6 4 6
0 0 0 0 3 3 3 3 3 3 3 0 0 0 0 0 0 6 6 6
0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
0 0 0 0 3 0 0 0 0 0 "
9385bd28_1,False,13,13,9.31,"1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 8 8 1 1 1 7 7 1 1 1 1 1 1 1 1 1 1 1
1 8 8 1 1 1 7 7 1 1 1 1 1 1 1 1 1 1 1
1 8 8 1 1 1 7 7 1 1 1 1 1 1 1 1 1 1 1
1 8 8 1 1 1 6 6 1 1 1 1 1 1 1 1 1 1 1
1 8 8 1 1 1 6 3 3 3 1 1 1 1 1 1 1 1 1
1 8 8 3 4 1 6 3 3 3 3 1 1 6 1 2 2 1 1
1 8 3 4 1 1 6 3 3 3 3 1 6 6 1 1 2 1 1
1 8 6 8 1 1 6 3 3 3 3 1 6 6 1 1 1 1 1
1 8 7 1 1 1 6 3 3 3 3 1 6 2 1 1 1 1 1
1 8 8 2 1 1 7 7 7 3 3 1 6 2 2 1 1 1 1
1 8 2 4 1 1 7 7 7 1 1 1 6 6 6 1 1 1 1
1 1 1 1 1 1 7 7 7 1 1 1 6 6 6 1 1 1 1"
abc82100,False,20,20,6.59,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 "
da515329,False,26,26,13.85,"0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 8 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
8 0 0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0 8
8 0 8 8 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 8
8 0 8 0 0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0 8 0 8
8 0 8 0 8 8 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 8 0 8
8 0 8 0 8 0 0 8 0 8 8 8 8 8 8 8 8 8 8 8 0 8 0 8 0 8
8 0 8 0 8 0 8 8 0 8 0 0 0 0 0 0 0 0 0 8 0 8 0 8 0 8
8 0 8 0 8 0 8 0 0 8 0 8 8 8 8 8 8 8 0 8 0 8 0 8 0 8
8 0 8 0 8 0 8 8 8 0 8 0 0 0 0 0 "
e12f9a14_0,False,30,30,14.38,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 2 2 8 0 0 0 0
0 0 0 0 0 0 0 0 0 0 "
e12f9a14_1,False,30,30,14.04,"8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 3 8 3 3 8 8 8 8 8 8 8 8 3 3 3 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 2 2 2 3 8 8 8 8 8 8 8 3 4 4 8 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 3 2 2 3 8 8 8 8 8 8 8 3 4 4 3 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 3 3 3 8 8 8 8 8 8 8 8 3 8 3 3 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 8 8 8 8 8 8 8 "
