task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+1_0,Counting,+1,0,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,15.65
Counting_+1_1,Counting,+1,1,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,19.2
Counting_+1_2,Counting,+1,2,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-2,+1,False,False,0.67,False,28.09
Counting_+1_3,Counting,+1,3,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,33.78
Counting_+1_4,Counting,+1,4,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,1.0,False,43.9
Counting_+1_5,Counting,+1,5,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,1.0,False,52.23
Counting_+1_6,Counting,+1,6,Counting,+1,1.0,True,True,Size of objects,Number of objects,False,-2,+1,False,False,0.67,False,53.84
Counting_+1_7,Counting,+1,7,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,60.6
Counting_+1_8,Counting,+1,8,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-2,+1,False,False,0.67,False,67.93
Counting_+1_9,Counting,+1,9,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,71.19
Counting_+1_10,Counting,+1,10,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,80.38
Counting_+1_11,Counting,+1,11,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,84.09
Counting_+1_12,Counting,+1,12,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,97.59
Counting_+1_13,Counting,+1,13,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,102.72
Counting_+1_14,Counting,+1,14,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,108.3
Counting_+1_15,Counting,+1,15,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,116.29
Counting_+1_16,Counting,+1,16,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,123.66
Counting_+1_17,Counting,+1,17,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,128.93
Counting_+1_18,Counting,+1,18,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,134.86
Counting_+1_19,Counting,+1,19,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,139.61
Counting_+1_20,Counting,+1,20,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,148.44
Counting_+1_21,Counting,+1,21,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,151.33
Counting_+1_22,Counting,+1,22,Counting,+2,1.0,True,False,Number of objects,Number of objects,True,-2,+2,False,True,1.0,False,158.2
Counting_+1_23,Counting,+1,23,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,1.0,False,163.1
Counting_+1_24,Counting,+1,24,Counting,+2,1.0,True,False,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,172.03
Counting_+1_25,Counting,+1,25,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,0.67,False,178.01
Counting_+1_26,Counting,+1,26,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,0.67,False,184.79
Counting_+1_27,Counting,+1,27,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,194.25
Counting_+1_28,Counting,+1,28,Counting,-1,1.0,True,False,Orientation of objects,Number of objects,False,-1,-1,True,False,0.67,False,199.34
Counting_+1_29,Counting,+1,29,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,208.39
Counting_+1_30,Counting,+1,30,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,217.63
Counting_+1_31,Counting,+1,31,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,226.19
Counting_+1_32,Counting,+1,32,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,232.6
Counting_+1_33,Counting,+1,33,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,True,0.67,False,237.65
Counting_+1_34,Counting,+1,34,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,True,1.0,False,240.24
Counting_+1_35,Counting,+1,35,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,251.24
Counting_+1_36,Counting,+1,36,Counting,+1,1.0,True,True,Size of objects,Number of objects,False,+1,+1,True,False,0.67,False,255.12
Counting_+1_37,Counting,+1,37,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,264.57
Counting_+1_38,Counting,+1,38,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,273.23
Counting_+1_39,Counting,+1,39,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,1.0,False,278.98
Counting_+1_40,Counting,+1,40,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,False,0.67,False,284.9
Counting_+1_41,Counting,+1,41,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,True,0.67,False,291.09
Counting_+1_42,Counting,+1,42,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,1.0,False,304.07
Counting_+1_43,Counting,+1,43,Counting,+2,1.0,True,False,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,307.69
Counting_+1_44,Counting,+1,44,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,1.0,False,314.2
Counting_+1_45,Counting,+1,45,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,0.67,True,319.02
Counting_+1_46,Counting,+1,46,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+2,+1,False,False,0.67,False,327.32
Counting_+1_47,Counting,+1,47,Counting,+1,1.0,True,True,Color of objects,Number of objects,False,+2,+1,False,False,0.67,False,336.2
Counting_+1_48,Counting,+1,48,Counting,+2,1.0,True,False,Number of objects,Number of objects,True,-2,+2,False,True,0.67,False,341.28
Counting_+1_49,Counting,+1,49,Counting,+2,1.0,True,False,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,347.13
Counting_+2_0,Counting,+2,0,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,355.55
Counting_+2_1,Counting,+2,1,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,1.0,False,359.19
Counting_+2_2,Counting,+2,2,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,-1,+2,False,True,0.67,False,364.23
Counting_+2_3,Counting,+2,3,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,370.35
Counting_+2_4,Counting,+2,4,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,378.24
Counting_+2_5,Counting,+2,5,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,382.95
Counting_+2_6,Counting,+2,6,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,388.31
Counting_+2_7,Counting,+2,7,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,395.93
Counting_+2_8,Counting,+2,8,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,1.0,False,404.69
Counting_+2_9,Counting,+2,9,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,412.59
Counting_+2_10,Counting,+2,10,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,419.93
Counting_+2_11,Counting,+2,11,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,-1,+2,False,False,0.67,False,427.34
Counting_+2_12,Counting,+2,12,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,0.67,True,433.19
Counting_+2_13,Counting,+2,13,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,441.14
Counting_+2_14,Counting,+2,14,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,1.0,False,450.44
Counting_+2_15,Counting,+2,15,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,-1,+2,False,False,0.67,False,453.45
Counting_+2_16,Counting,+2,16,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,464.65
Counting_+2_17,Counting,+2,17,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,1.0,False,472.36
Counting_+2_18,Counting,+2,18,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,1.0,False,477.71
Counting_+2_19,Counting,+2,19,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,True,1.0,True,484.93
Counting_+2_20,Counting,+2,20,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,+2,+2,True,False,0.67,False,488.7
Counting_+2_21,Counting,+2,21,Counting,+2,1.0,True,True,Number of objects,Number of objects,True,-2,+2,False,False,0.67,False,492.06
