task_id,correct,predicted_rows,gt_rows,elapsed_s,raw_response
a251c730,False,20,9,4.58,"3 3 3 3 3 3 3 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 4 4 4 4 4 4 3
3 3 3 3 3 3 3 3"
9385bd28_0,False,19,19,5.68,"9 9 9 9 4 4 4 4 4 9 9 9 9  
9 9 9 9 4 4 4 4 4 9 9 9 9  
9 9 9 9 4 4 4 4 4 9 9 9 9  
9 1 1 9 4 4 4 4 4 9 9 9 1  
9 1 9 9 4 4 4 4 4 9 9 1 1  
9 9 9 9 4 4 4 4 4 9 9 9 9  
9 9 9 9 5 5 5 5 5 9 9 9 5  
9 9 9 9 5 5 5 5 5 9 9 5 5  
9 9 9 9 5 5 5 5 5 9 9 9 9  
9 9 9 9 3 3 3 3 3 9 9 9 3  
9 9 9 9 3 3 3 3 3 9 9 3 3  
9 9 9 9 3 3 3 3 3 9 9 9 9  
9 9 9 9 3 3 3 3 3 9 9 9 9  
9 9 9 9 3 3 3 3 3 9 9 9 9  
9 2 2 9 3 3 3 3 3 9 9 9 9  
9 5 9 9 3 3 3 3 3 9 9 9 9  
9 3 9 9 3 3 3 3 3 9 9 9 9  
9 1 4 9 4 4 4 4 4 9 9 9 "
409aa875,False,16,16,6.64,"7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 6 7 7 7 7 7 6 7 6 7 7 7 7 7  
7 6 6 7 7 7 7 7 7 6 7 7 7 7 6 7  
7 7 7 7 7 7 7 7 7 7 7 7 7 6 7 7  
7 7 7 7 7 7 7 7 7 6 7 7 7 7 6 7  
7 7 7 7 7 7 7 7 6 7 6 7 7 7 7 7  
7 7 6 7 7 7 7 7 7 7 7 7 7 7 7 7  
7 6 7 6 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 7 6 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 6 7 6 7 7 9 9 7 7 "
9385bd28_1,False,13,13,6.69,"1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 1
1 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 1
1 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 1
1 8 8 8 8 8 6 6 6 6 6 6 6 6 6 6 6 6 1
1 8 8 8 8 8 6 6 3 3 3 3 3 6 6 6 6 6 1
1 8 8 8 8 8 6 6 3 3 3 3 3 6 6 2 2 6 1
1 8 3 4 4 4 6 6 3 3 3 3 3 6 6 2 2 6 1
1 8 6 8 8 8 6 6 3 3 3 3 3 6 6 2 2 6 1
1 7 7 7 7 7 7 7 7 7 7 7 7 2 2 2 2 2 1
1 7 8 8 8 8 7 7 7 7 7 7 7 2 2 2 2 2 1
1 7 7 7 7 7 7 7 7 7 7 7 7 2 2 2 2 2 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
a6f40cea,False,8,8,6.8,"8 8 8 8 8 8 8 8  
8 8 8 8 8 8 8 8  
8 8 8 8 8 8 8 8  
8 8 8 8 8 8 8 8  
8 8 8 8 8 8 8 8  
8 8 8 8 8 8 8 8  
8 8 8 8 8 8 8 8  
8 8 8 8 8 8 8 8  "
88e364bc_0,False,20,20,8.9,"5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0  
5 5 5 1 5 5 5 0 0 5 5 5 0 0 0 0 0 0 0 0  
5 1 5 5 1 5 5 0 0 5 0 5 5 5 0 0 0 0 0 0  
5 5 1 5 5 2 5 0 0 5 0 4 0 5 0 0 5 5 0 0  
5 5 5 2 5 5 5 0 0 5 0 0 0 5 5 5 5 5 5 0  
5 5 5 5 5 5 5 0 0 5 0 0 0 0 0 0 0 0 5 0  
0 0 0 0 0 0 0 0 0 5 0 4 0 0 0 0 0 0 5 0  
0 0 0 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 5 0  
0 0 0 0 0 1 1 1 1 1 5 0 0 0 0 0 0 0 5 0  
0 0 0 0 0 1 0 0 0 1 5 5 5 0 0 5 5 5 5 0  
0 0 0 0 0 1 0 0 0 1 1 1 5 5 5 5 0 0 0 0  
0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 "
abc82100,False,20,20,9.53,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0  
2 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2  
0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0  
0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0  
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0  
0 2 2 2 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0  
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0  
0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0  
0 2 2 2 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0  
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "
88e364bc_1,False,20,20,9.87,"6 6 6 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  
6 2 6 2 6 0 0 3 3 3 3 3 3 3 0 0 6 6 6 6  
6 1 6 1 6 0 0 3 0 0 0 0 0 3 0 0 6 0 0 6  
6 1 6 1 6 0 3 3 0 0 0 0 0 3 6 6 6 6 0 6  
6 6 6 6 6 0 3 0 0 0 0 0 3 3 6 0 0 0 0 6  
0 0 0 0 0 0 3 0 0 0 0 0 3 0 6 0 4 0 0 6  
0 0 3 3 3 3 3 0 0 0 0 0 3 3 6 6 6 0 0 6  
0 0 3 0 0 0 0 0 0 4 0 0 0 3 3 0 6 0 0 6  
0 0 3 3 0 0 0 0 0 0 0 4 0 3 3 0 6 0 4 6  
0 0 0 3 3 3 3 3 3 3 3 3 3 3 0 0 6 6 0 6  
0 0 0 0 3 3 3 3 3 3 3 0 0 0 0 0 0 6 6 6  
0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 "
d59b0160,False,16,16,11.06,"7 2 7 3 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 5 3 7 7 7 7 7 7 7 7 7 7 7 7  
7 4 7 3 7 7 7 7 7 7 7 7 7 7 7 7  
3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7  
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
9 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
0 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
0 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
0 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
0 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
6 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
0 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
5 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
0 0 7 7 7 7 7 7 7 7 7 7 7 7 7 7  
5 0 7 7 7 7 7 7 7 7 7 7 "
da515329,False,24,26,13.03,"8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0
8 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0
8 0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0 8 0
8 0 8 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 8 0
8 0 8 0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0 8 0 8 0
8 0 8 0 8 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 8 0 8 0
8 0 8 0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 0 8 0 8 0 8 0
8 0 8 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 8 0 8 0
8 0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 "
