task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+1_0,Counting,+1,0,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7883.45
Counting_+1_1,Counting,+1,1,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7888.1
Counting_+1_2,Counting,+1,2,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7891.11
Counting_+1_3,Counting,+1,3,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7895.13
Counting_+1_4,Counting,+1,4,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7898.9
Counting_+1_5,Counting,+1,5,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7902.68
Counting_+1_6,Counting,+1,6,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7906.74
Counting_+1_7,Counting,+1,7,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7910.94
Counting_+1_8,Counting,+1,8,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7914.91
Counting_+1_9,Counting,+1,9,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7918.42
Counting_+1_10,Counting,+1,10,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7923.65
Counting_+1_11,Counting,+1,11,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,False,0.67,False,7925.99
Counting_+1_12,Counting,+1,12,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7930.02
Counting_+1_13,Counting,+1,13,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7933.54
Counting_+1_14,Counting,+1,14,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7937.08
Counting_+1_15,Counting,+1,15,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7940.63
Counting_+1_16,Counting,+1,16,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7944.32
Counting_+1_17,Counting,+1,17,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7951.71
Counting_+1_18,Counting,+1,18,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7954.11
Counting_+1_19,Counting,+1,19,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7956.73
Counting_+1_20,Counting,+1,20,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7960.6
Counting_+1_21,Counting,+1,21,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7965.0
Counting_+1_22,Counting,+1,22,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7967.89
Counting_+1_23,Counting,+1,23,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7972.85
Counting_+1_24,Counting,+1,24,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7976.04
Counting_+1_25,Counting,+1,25,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7979.5
Counting_+1_26,Counting,+1,26,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7985.06
Counting_+1_27,Counting,+1,27,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7987.94
Counting_+1_28,Counting,+1,28,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,1.0,False,7990.76
Counting_+1_29,Counting,+1,29,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7993.55
Counting_+1_30,Counting,+1,30,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,7997.4
Counting_+1_31,Counting,+1,31,Counting,+1,0.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,8003.31
