task_id,concept,parameter,trial,hint_concept,hint_param,hint_confidence,hint_concept_correct,hint_param_correct,cross_predicted,cross_gt,cross_correct,within_predicted,within_gt,within_correct,extrap_correct,extrap_confidence,all_correct,elapsed_s
Counting_+1_0,Counting,+1,0,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,86.99
Counting_+1_1,Counting,+1,1,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,133.64
Counting_+1_2,Counting,+1,2,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,171.14
Counting_+1_3,Counting,+1,3,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,245.78
Counting_+1_4,Counting,+1,4,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,315.25
Counting_+1_5,Counting,+1,5,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,382.68
Counting_+1_6,Counting,+1,6,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,447.56
Counting_+1_7,Counting,+1,7,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,527.25
Counting_+1_8,Counting,+1,8,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,548.12
Counting_+1_9,Counting,+1,9,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,601.54
Counting_+1_10,Counting,+1,10,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,646.27
Counting_+1_11,Counting,+1,11,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,-1,+1,False,True,1.0,False,723.66
Counting_+1_12,Counting,+1,12,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,775.48
Counting_+1_13,Counting,+1,13,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,850.08
Counting_+1_14,Counting,+1,14,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,898.37
Counting_+1_15,Counting,+1,15,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,974.31
Counting_+1_16,Counting,+1,16,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,1059.1
Counting_+1_17,Counting,+1,17,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,1155.87
Counting_+1_18,Counting,+1,18,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,1199.05
Counting_+1_19,Counting,+1,19,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,1275.77
Counting_+1_20,Counting,+1,20,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,1336.04
Counting_+1_21,Counting,+1,21,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,1393.15
Counting_+1_22,Counting,+1,22,Counting,+1,1.0,True,True,Number of objects,Number of objects,True,+1,+1,True,True,1.0,True,1469.63
